coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
ETH,68.3425,4389.65,299346.98425,-652.95791,25.0,11973.87937,1755274334044,2025-08-15 16:12:14
ETH,91.1996,4385.98,400220.32464,220.56998,25.0,16008.812985,1755274457805,2025-08-15 16:14:17
ETH,0.0001,4385.98,0.44139,0.002792,25.0,0.017655,1755275532958,2025-08-15 16:32:12
ETH,22.8051,4385.0,100210.17042,209.806822,25.0,4008.406816,1755284541875,2025-08-15 19:02:21
ETH,45.6517,4380.99,200146.18314,146.251342,25.0,8005.847325,1755284720818,2025-08-15 19:05:20
ETH,0.0001,4380.99,0.4409,0.002801,25.0,0.017636,1755285294286,2025-08-15 19:14:54
ETH,45.3002,4414.99,199941.49274,-58.886859,25.0,7997.659709,1755300259995,2025-08-15 23:24:19
ETH,0.0001,4414.99,0.44445,0.002951,25.0,0.017778,1755302363176,2025-08-15 23:59:23
ETH,45.403,4405.0,199963.8926,-36.323399,25.0,7998.555704,1755338385478,2025-08-16 09:59:45
ETH,45.403,4405.0,199900.3284,-99.887599,25.0,7996.013136,1755355380992,2025-08-16 14:43:00
ETH,0.0001,4405.0,0.44369,0.00319,25.0,0.017747,1755372763047,2025-08-16 19:32:43
ETH,501.3832,4555.0,2283449.50776,-350.96824,25.0,91337.98031,1755446674739,2025-08-17 16:04:34
ETH,0.0001,4555.0,0.45569,0.00019,25.0,0.018227,1755446744173,2025-08-17 16:05:44
ETH,22.429,4458.5,99952.5956,-47.1009,25.0,3998.103824,1755459349522,2025-08-17 19:35:49
ETH,0.0246,4458.5,109.84884,0.16974,25.0,4.393953,1755461359394,2025-08-17 20:09:19
ETH,23.2944,4297.57,100000.52976,-108.78786,25.0,4000.02119,1755511477729,2025-08-18 10:04:37
ETH,46.5935,4294.73,199965.32395,-141.40096,25.0,7998.612958,1755511492597,2025-08-18 10:04:52
ETH,69.9143,4292.48,299764.55268,-341.76263,25.0,11990.582107,1755511778870,2025-08-18 10:09:38
ETH,93.2787,4289.36,398999.63925,-1106.30806,25.0,15959.98557,1755512920794,2025-08-18 10:28:40
ETH,116.6869,4285.87,498474.76811,-1631.0096,25.0,19938.990724,1755513018007,2025-08-18 10:30:18
ETH,140.1335,4282.38,597613.3241,-2492.20261,25.0,23904.532964,1755514639304,2025-08-18 10:57:19
ETH,163.6076,4279.17,696772.04688,-3333.14583,25.0,27870.881875,1755514679156,2025-08-18 10:57:59
ETH,23.5017,4255.0,100060.83792,61.10442,25.0,4002.433516,1755613160506,2025-08-19 14:19:20
ETH,70.6159,4248.32,299799.80345,-199.70905,25.0,11991.992138,1755613423104,2025-08-19 14:23:43
ETH,117.7857,4244.99,498457.30383,-1542.16067,25.0,19938.292153,1755613640872,2025-08-19 14:27:20
ETH,212.3483,4238.31,898466.89213,-1532.37037,25.0,35938.675685,1755613674279,2025-08-19 14:27:54
ETH,307.0901,4232.75,1296012.34903,-3825.73201,25.0,51840.493961,1755613692984,2025-08-19 14:28:12
ETH,401.9892,4228.56,1695831.63912,-4006.14842,25.0,67833.265564,1755613733913,2025-08-19 14:28:53
ETH,497.001,4225.01,2092771.8108,-7065.65474,25.0,83710.872432,1755613758858,2025-08-19 14:29:18
ETH,528.2581,4223.83,2221642.26536,-9631.30568,25.0,88865.690614,1755613799053,2025-08-19 14:29:59
ETH,592.1258,4221.8,2490303.47706,-9533.77248,25.0,99612.139082,1755613856257,2025-08-19 14:30:56
ETH,687.5911,4217.38,2879975.32235,-19861.53419,25.0,115199.012894,1755614512117,2025-08-19 14:41:52
